TIPO,DATA,NUMNT,SERIE,CHAVE,CODIGO,DESCRICAO,QTDE,PRECO_UNIT,TOTAL
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111132007,7892261369223,"PARAFUSO CHIP PH CAB CHT 3,5X16","-10.000","0.150","1.500"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111142123,7891595003926,"RODO PIA BORRACHA 14CM ROMA","-1.000","4.500","4.500"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111081376,7898143455749,"BANDEJA PINTURA 15CM CINZA DTOOLS","-1.000","7.000","7.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111111757,7893946575380,"PARAFUSO CHIP PH CAB CHT 3,5X35","-30.000","0.250","7.500"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111071256,7891595005531,"ROLO LÃ ANTI RESPINGO 5CMX9MM C/CABO ROMA","-1.000","8.000","8.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111132007,7891435049916,"PLUGUE RETO MACHO 10A 3P 250V PR TRAMONTINA","-1.000","9.000","9.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111121873,7891200190942,"COLA SUPER BONDER 3G LOCTITE","-1.000","10.000","10.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111132007,2194,"CABO PP 2X1,5MM PRETO (0,07)","-2.000","6.000","12.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111132007,7891435052787,"LIZFLEX SOBREP 1 INTER SIMPL 10A 250V COMPL TRAMO","-1.000","13.000","13.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111071256,7896380111138,"PINCEL ATLAS 419 40MM = 1.1/2"" AMARELO/PRETO","-1.000","13.000","13.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111132007,7896619427801,"LUMINÁRIA LED LINEAR SLIM SOBR 18W BIV 60CM EMPALU","-1.000","23.000","23.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111142123,7891435936810,"ARIA TAMPA CEGA 4X2 TRAMO","-5.000","6.000","30.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111111757,7898405962442,"COLA ALMASUPER ULTRARRAPIDO 100G ALMAFLEX","-1.000","34.000","34.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111101622,7898143435895,"ALICATE UNIVERSAL 8"" PRO DTOOLS","-1.000","45.000","45.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111061121,7891194000371,"CADEADO PAPAIZ 50MM CR50","-1.000","59.000","59.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111091506,7897210483821,"VÁLVULA MICTÓRIO AUTOM PVC CR COMPL 30CM BLUKIT","-1.000","99.000","99.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111091506,7898668362973,"TORN LAV BAN PVC B.TRAD TENERI CR 1/2 HERC","-2.000","61.000","122.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111111757,7899676009836,"FURADEIRA/PARAF BAT 12V 3/8"" (10MM) WORKER","-1.000","290.000","290.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111040871,7891960829724,"FITA VEDA ROSCA 18MMX10M AMANCO","-1.000","7.000","7.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111040871,7896650401761,"TORN ELÉTR PAR HYDRA LUMEN BR 110V 5550W","-1.000","253.000","253.000"
NFCe Cupom Saida,2025-04-01 00:00:00,000000001,001,43250000000000019112651010000000011111051005,7896650401754,"TORN ELÉTR PAR HYDRA LUMEN BR 220V 5550W","-1.000","299.000","299.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133443450,7892261369285,"PARAFUSO CHIP PH CAB CHT 4,0X16","-6.000","0.250","1.500"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133382701,7898959829437,"MANTA ASFÁLTICA ALUMINIZADA C/ADESIVO 15CM","-2.000","6.500","13.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133467752,17896525087523,"BROCA AÇO/INOX 5,0MMX82MM STANLEY","-1.000","15.000","15.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133467752,7898143447843,"DISCO CORTE CERAM SEGM 4.1/2"" 110X20MM DTS","-1.000","16.000","16.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133382701,7898959829352,"PRIMER MANTA ASFÁLTICA B.ÁGUA 1L DRYKO","-1.000","17.000","17.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133407008,7898188093159,"REGADOR 5L VERDE METASUL","-1.000","18.000","18.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133467752,17896525087585,"BROCA AÇO/INOX 8MMX111MM STANLEY","-1.000","20.000","20.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133467752,7898143445139,"BROCA CHATA P/MADEIRA 13MM 1/2"" DTOOLS","-1.000","22.000","22.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133455609,7898150989824,"ABRAÇADEIRA NYLON 200X4,8 BRANCA FRONTEC C/100","-1.000","26.000","26.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133419155,7897488013720,"NIVEL DE MADEIRA 14"" ECO DTOOLS","-1.000","28.000","28.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133431306,7897488013720,"NIVEL DE MADEIRA 14"" ECO DTOOLS","-1.000","28.000","28.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133419155,7897488053535,"PRUMO AÇO 300G DTOOLS","-1.000","29.000","29.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133431306,7897488053535,"PRUMO AÇO 300G DTOOLS","-1.000","29.000","29.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133467752,3220,"TIJOLO REFRATÁRIO NORMAL FURADO 22,9X11,4X5,1CM","-5.000","7.000","35.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133407008,7897488023088,"MARTELO BORRACHA PR 80MM C/CABO MADEIRA DTOOLS","-1.000","35.000","35.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133407008,7898578169952,"CÂMARA AR CARRINHO MÃO/CARGA/PLATAF 3,25 X8 VILA","-2.000","20.000","40.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133394855,7898550255673,"REPARO VÁLV DESCARGA DOCOL 1.1/2 RI-484 BLUKIT","-1.000","70.000","70.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133467752,7898143454476,"BROCA AÇO/INOX ESCALONÁVEL DE 4 A 32MM DTOOLS","-1.000","99.000","99.000"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133467752,7892183538257,"PORCA 1/4 ZINCADA BRANCA","-4.000","0.300","1.200"
NFCe Cupom Saida,2025-04-02 00:00:00,000000001,001,43250000000000019112651010000000011133467752,7893946567132,"PARAFUSO SEXT P/PORCA 1/4X1""","-4.000","0.900","3.600"
NFE Ent,2025-04-02 00:00:00,000000001,10,43250000000000019157550100000000011154321016,3218,"LAJE GRES","1.000","11.600","11.600"
NFCe Cupom Saida,2025-04-03 00:00:00,000000001,001,43250000000000019112651010000000011155797426,7891040106363,"FITA ISOLANTE 10MX18MM PRETA IMPERIAL 3M","-1.000","9.000","9.000"
NFCe Cupom Saida,2025-04-03 00:00:00,000000001,001,43250000000000019112651010000000011155754900,1248,"BUCHA TIJ FUR C/ANEL USAF CZ 8MM (5,0X60/3/16X55)","-30.000","0.400","12.000"
NFCe Cupom Saida,2025-04-03 00:00:00,000000001,001,43250000000000019112651010000000011155797426,7891040036974,"FITA AUTO FUSÃO 2MX19MM SCOTCH 3M","-1.000","14.000","14.000"
NFCe Cupom Saida,2025-04-03 00:00:00,000000001,001,43250000000000019112651010000000011155825777,7891435052848,"LIZFLEX SOBREP 1 INTER SIMPL +1 TOM 10A 250V TRAMO","-1.000","21.000","21.000"
NFCe Cupom Saida,2025-04-03 00:00:00,000000001,001,43250000000000019112651010000000011155825777,7891435054606,"LIZFLEX SOBREP 1 INTER SIMPL +1 TOM 20A 250V TRAMO","-1.000","22.000","22.000"
NFCe Cupom Saida,2025-04-03 00:00:00,000000001,001,43250000000000019112651010000000011155754900,7898143449373,"PARAFUSO CHIP PH CAB CHT 5,0X90","-30.000","0.900","27.000"
