Id,Codigo,Descricao,Ativo,Unid,Custo,Preco,Estoque
a1b2c3d4-0001-4000-8000-000000000001,7891234560001,PARAFUSO CHIP PH CAB CHT 3.5X16 C/100,1,PC,"3,50","6,30",85
a1b2c3d4-0002-4000-8000-000000000002,7891234560002,PARAFUSO CHIP PH CAB CHT 4.0X25 C/100,1,PC,"3,80","6,84",60
a1b2c3d4-0003-4000-8000-000000000003,7891234560003,PARAFUSO BUCH M8X50 GALV C/50,1,PC,"5,20","9,36",40
a1b2c3d4-0004-4000-8000-000000000004,7891234560004,BUCHA NYLON S8 C/100,1,PC,"2,90","5,22",120
a1b2c3d4-0005-4000-8000-000000000005,7891234560005,PREGO COM CABECA 17X27 1KG,1,KG,"6,80","12,24",35
a1b2c3d4-0006-4000-8000-000000000006,7891234560006,TINTA LATEX PVA BRANCA 18L SUVINIL,1,UN,"89,90","161,82",12
a1b2c3d4-0007-4000-8000-000000000007,7891234560007,TINTA LATEX PVA BRANCA 3.6L SUVINIL,1,UN,"24,50","44,10",20
a1b2c3d4-0008-4000-8000-000000000008,7891234560008,VERNIZ MARITIMO BRILHANTE 900ML CORAL,1,UN,"32,00","57,60",8
a1b2c3d4-0009-4000-8000-000000000009,7891234560009,LIXA FERRO GRAO 100 NORTON,1,UN,"1,20","2,16",200
a1b2c3d4-0010-4000-8000-000000000010,7891234560010,LIXA MADEIRA GRAO 80 NORTON,1,UN,"1,10","1,98",180
a1b2c3d4-0011-4000-8000-000000000011,7891234560011,FIO ELETRICO 1.5MM PRETO ROLO 100M,1,RL,"42,00","75,60",15
a1b2c3d4-0012-4000-8000-000000000012,7891234560012,FIO ELETRICO 2.5MM AMARELO ROLO 100M,1,RL,"65,00","117,00",10
a1b2c3d4-0013-4000-8000-000000000013,7891234560013,DISJUNTOR MONO 20A SCHNEIDER,1,UN,"14,50","26,10",30
a1b2c3d4-0014-4000-8000-000000000014,7891234560014,TOMADA 2P+T 10A BRANCA TRAMONTINA,1,UN,"6,80","12,24",55
a1b2c3d4-0015-4000-8000-000000000015,7891234560015,INTERRUPTOR SIMPLES 10A BRANCA TRAMONTINA,1,UN,"5,90","10,62",48
a1b2c3d4-0016-4000-8000-000000000016,7891234560016,CANO PVC ESGOTO 100MM 6M AMANCO,1,UN,"28,00","50,40",18
a1b2c3d4-0017-4000-8000-000000000017,7891234560017,CANO PVC AGUA FRIA 20MM 6M AMANCO,1,UN,"12,00","21,60",25
a1b2c3d4-0018-4000-8000-000000000018,7891234560018,JOELHO 90 PVC ESGOTO 100MM AMANCO,1,UN,"4,50","8,10",40
a1b2c3d4-0019-4000-8000-000000000019,7891234560019,CAIXA DAGUA 500L FORTLEV,1,UN,"185,00","333,00",5
a1b2c3d4-0020-4000-8000-000000000020,7891234560020,TORNEIRA CROMADA LAV 1/2 DECA,1,UN,"38,00","68,40",14
a1b2c3d4-0021-4000-8000-000000000021,7891234560021,REGISTRO GAVETA 3/4 DECA,1,UN,"45,00","81,00",10
a1b2c3d4-0022-4000-8000-000000000022,7891234560022,FITA VEDA ROSCA 18MMX10M AMANCO,1,UN,"3,80","6,84",90
a1b2c3d4-0023-4000-8000-000000000023,7891234560023,PINCEL ATLAS 419 40MM AMARELO,1,UN,"7,20","12,96",35
a1b2c3d4-0024-4000-8000-000000000024,7891234560024,ROLO LA 23CM C/CABO ATLAS,1,UN,"9,50","17,10",28
a1b2c3d4-0025-4000-8000-000000000025,7891234560025,ESCOVA DE ACO CIRCULAR 4.1/2 CARBOGRAFITE,1,UN,"11,00","19,80",22
a1b2c3d4-0026-4000-8000-000000000026,7891234560026,ALICATE UNIVERSAL 8 TRAMONTINA,1,UN,"28,00","50,40",16
a1b2c3d4-0027-4000-8000-000000000027,7891234560027,MARTELO CARPINTEIRO 200Z TRAMONTINA,1,UN,"32,00","57,60",12
a1b2c3d4-0028-4000-8000-000000000028,7891234560028,CHAVE DE FENDA 3/16X4 TRAMONTINA,1,UN,"8,50","15,30",40
a1b2c3d4-0029-4000-8000-000000000029,7891234560029,TRENA 5M STANLEY,1,UN,"19,00","34,20",25
a1b2c3d4-0030-4000-8000-000000000030,7891234560030,NIVEL PROFISSIONAL 120CM VONDER,1,UN,"42,00","75,60",8
a1b2c3d4-0031-4000-8000-000000000031,7891234560031,CADEADO PAPAIZ 40MM CROMADO,1,UN,"24,00","43,20",20
a1b2c3d4-0032-4000-8000-000000000032,7891234560032,FECHADURA BANHEIRO CROMADA LOCKWELL,1,UN,"35,00","63,00",15
a1b2c3d4-0033-4000-8000-000000000033,7891234560033,DOBRADICA ACO 3X2.1/2 PAR,1,PC,"4,20","7,56",60
a1b2c3d4-0034-4000-8000-000000000034,7891234560034,MOLA HIDRAULICA P/PORTA 3 GARRA INOX,1,UN,"18,00","32,40",12
a1b2c3d4-0035-4000-8000-000000000035,7891234560035,CAPACETE SEGURANCA CLASS A BRANCO,1,UN,"12,00","21,60",30
a1b2c3d4-0036-4000-8000-000000000036,7891234560036,OCULOS PROTECAO CARBOGRAFITE,1,UN,"6,50","11,70",45
a1b2c3d4-0037-4000-8000-000000000037,7891234560037,LUVA LATEX P DANNY AMARELA PAR,1,PC,"3,20","5,76",80
a1b2c3d4-0038-4000-8000-000000000038,7891234560038,MASCARA PFF2 POEIRA CARBOGRAFITE,1,UN,"4,80","8,64",60
a1b2c3d4-0039-4000-8000-000000000039,7891234560039,BOTA PVC CANO LONGO 38 VULCABRAS,1,PAR,"48,00","86,40",10
a1b2c3d4-0040-4000-8000-000000000040,7891234560040,CIMENTO CPIII 50KG VOTORAN,1,SC,"28,00","50,40",50
a1b2c3d4-0041-4000-8000-000000000041,7891234560041,CAL HIDRATADA 20KG VOTORAN,1,SC,"12,00","21,60",40
a1b2c3d4-0042-4000-8000-000000000042,7891234560042,REJUNTE ACRILICO BRANCO 1KG BIANCO,1,KG,"8,50","15,30",35
a1b2c3d4-0043-4000-8000-000000000043,7891234560043,ARGAMASSA ASSENTAMENTO CINZA 20KG,1,SC,"14,00","25,20",45
a1b2c3d4-0044-4000-8000-000000000044,7891234560044,TELHA CERAMICA COLONIAL 1UN,1,UN,"2,20","3,96",300
a1b2c3d4-0045-4000-8000-000000000045,7891234560045,MANGUEIRA JARDIM 1/2 50M TRAMONTINA,1,UN,"55,00","99,00",8
a1b2c3d4-0046-4000-8000-000000000046,7891234560046,ASPERSOR JARDIM GIRO 360 TRAMONTINA,1,UN,"14,00","25,20",18
a1b2c3d4-0047-4000-8000-000000000047,7891234560047,PULVERIZADOR COSTAL 20L GUARANY,1,UN,"95,00","171,00",6
